"obs" "trl" "sub" "itm" "tsk" "vgn" "qty" "rt" "bd"
"28" 28 28 "s01" "36:45:54" "Numerical" "Crisp" "Small" 1350 0
"29" 29 29 "s01" "6:15:24" "Numerical" "Crisp" "Big" 3042 0
"30" 30 30 "s01" "16:25:34" "Verbal" "Crisp" "Big" 1240 0
"31" 31 31 "s01" "26:35:44" "Numerical" "Crisp" "Small" 2356 1
"32" 32 32 "s01" "36:45:54" "Verbal" "Vague" "Small" 3740 0
"33" 33 33 "s01" "6:15:24" "Numerical" "Crisp" "Big" 1689 0
"34" 34 34 "s01" "16:25:34" "Numerical" "Crisp" "Big" 4676 0
"35" 35 35 "s01" "26:35:44" "Numerical" "Crisp" "Big" 2900 1
"36" 36 36 "s01" "36:45:54" "Verbal" "Vague" "Big" 844 0
"37" 37 37 "s01" "6:15:24" "Verbal" "Vague" "Small" 1007 0
"38" 38 38 "s01" "16:25:34" "Verbal" "Crisp" "Small" 1085 0
"39" 39 39 "s01" "26:35:44" "Numerical" "Vague" "Big" 2229 0
"40" 40 40 "s01" "36:45:54" "Verbal" "Crisp" "Big" 2299 0
"41" 41 41 "s01" "6:15:24" "Numerical" "Vague" "Small" 2873 1
"42" 42 42 "s01" "16:25:34" "Verbal" "Vague" "Small" 2683 0
"43" 43 43 "s01" "26:35:44" "Verbal" "Vague" "Small" 1323 0
"44" 44 44 "s01" "36:45:54" "Numerical" "Vague" "Big" 2298 0
"45" 45 45 "s01" "6:15:24" "Numerical" "Vague" "Big" 2259 0
"46" 46 46 "s01" "16:25:34" "Numerical" "Vague" "Big" 1944 0
"47" 47 47 "s01" "26:35:44" "Verbal" "Crisp" "Small" 1916 0
"48" 48 48 "s01" "36:45:54" "Numerical" "Crisp" "Small" 3192 1
"49" 49 49 "s01" "6:15:24" "Verbal" "Crisp" "Small" 945 0
"50" 50 50 "s01" "16:25:34" "Verbal" "Crisp" "Big" 1315 0
"51" 51 51 "s01" "26:35:44" "Verbal" "Vague" "Big" 3253 0
"52" 52 52 "s01" "36:45:54" "Numerical" "Vague" "Small" 3155 0
"53" 53 53 "s01" "6:15:24" "Verbal" "Vague" "Big" 704 0
"54" 54 54 "s01" "16:25:34" "Numerical" "Crisp" "Small" 1942 1
"55" 55 55 "s01" "26:35:44" "Numerical" "Crisp" "Small" 3566 1
"56" 56 56 "s01" "36:45:54" "Numerical" "Crisp" "Big" 1754 0
"57" 57 57 "s01" "6:15:24" "Verbal" "Crisp" "Big" 933 0
"58" 58 58 "s01" "16:25:34" "Numerical" "Crisp" "Small" 8155 0
"59" 59 59 "s01" "26:35:44" "Verbal" "Vague" "Big" 2022 0
"60" 60 60 "s01" "36:45:54" "Verbal" "Crisp" "Big" 1029 0
"61" 61 61 "s01" "6:15:24" "Verbal" "Vague" "Big" 1046 0
"62" 62 62 "s01" "16:25:34" "Verbal" "Vague" "Big" 1203 0
"63" 63 63 "s01" "26:35:44" "Numerical" "Vague" "Big" 1313 0
"64" 64 64 "s01" "36:45:54" "Verbal" "Crisp" "Small" 1019 0
"65" 65 65 "s01" "6:15:24" "Numerical" "Vague" "Small" 1452 1
"66" 66 66 "s01" "16:25:34" "Numerical" "Vague" "Big" 1544 0
"67" 67 67 "s01" "26:35:44" "Verbal" "Vague" "Big" 874 0
"68" 68 68 "s01" "36:45:54" "Numerical" "Vague" "Small" 3235 0
"69" 69 69 "s01" "6:15:24" "Numerical" "Vague" "Big" 2743 1
"70" 70 70 "s01" "16:25:34" "Numerical" "Crisp" "Big" 1494 0
"71" 71 71 "s01" "26:35:44" "Verbal" "Crisp" "Big" 834 0
"72" 72 72 "s01" "36:45:54" "Verbal" "Vague" "Big" 1349 0
"73" 73 73 "s01" "6:15:24" "Verbal" "Vague" "Small" 717 0
"74" 74 74 "s01" "16:25:34" "Verbal" "Vague" "Big" 1648 0
"75" 75 75 "s01" "26:35:44" "Numerical" "Vague" "Small" 940 0
"76" 76 76 "s01" "36:45:54" "Numerical" "Crisp" "Small" 2787 0
"77" 77 77 "s01" "6:15:24" "Verbal" "Crisp" "Big" 880 0
"78" 78 78 "s01" "16:25:34" "Numerical" "Crisp" "Small" 1795 1
"79" 79 79 "s01" "26:35:44" "Numerical" "Crisp" "Small" 1844 1
"80" 80 80 "s01" "36:45:54" "Verbal" "Vague" "Small" 1548 0
"81" 81 81 "s01" "6:15:24" "Numerical" "Crisp" "Big" 1902 0
"82" 82 82 "s01" "16:25:34" "Verbal" "Crisp" "Small" 919 0
"83" 83 83 "s01" "26:35:44" "Verbal" "Crisp" "Big" 798 0
"84" 84 84 "s01" "36:45:54" "Verbal" "Vague" "Small" 2193 0
"85" 85 85 "s01" "6:15:24" "Numerical" "Crisp" "Small" 1293 0
"86" 86 86 "s01" "16:25:34" "Verbal" "Vague" "Small" 1420 0
"87" 87 87 "s01" "26:35:44" "Numerical" "Vague" "Small" 2219 1
"88" 88 88 "s01" "36:45:54" "Numerical" "Crisp" "Big" 913 0
"89" 89 89 "s01" "6:15:24" "Verbal" "Crisp" "Big" 825 0
"90" 90 90 "s01" "16:25:34" "Verbal" "Vague" "Big" 2325 0
"91" 91 91 "s01" "26:35:44" "Verbal" "Vague" "Big" 1486 0
"92" 92 92 "s01" "36:45:54" "Verbal" "Crisp" "Big" 1195 0
"93" 93 93 "s01" "6:15:24" "Verbal" "Vague" "Big" 1483 0
"94" 94 94 "s01" "16:25:34" "Numerical" "Vague" "Small" 2112 1
"95" 95 95 "s01" "26:35:44" "Numerical" "Crisp" "Small" 3120 1
"96" 96 96 "s01" "36:45:54" "Numerical" "Crisp" "Small" 4594 0
"97" 97 97 "s01" "6:15:24" "Verbal" "Vague" "Big" 717 0
"98" 98 98 "s01" "16:25:34" "Verbal" "Vague" "Small" 888 0
"99" 99 99 "s01" "26:35:44" "Numerical" "Vague" "Big" 1204 0
"100" 100 100 "s01" "36:45:54" "Verbal" "Crisp" "Small" 3062 0
"101" 101 101 "s01" "6:15:24" "Verbal" "Crisp" "Small" 1091 0
"102" 102 102 "s01" "16:25:34" "Numerical" "Vague" "Big" 1631 0
"103" 103 103 "s01" "26:35:44" "Verbal" "Crisp" "Small" 1593 0
"104" 104 104 "s01" "36:45:54" "Verbal" "Crisp" "Small" 1233 0
"105" 105 105 "s01" "6:15:24" "Numerical" "Vague" "Small" 1081 1
"106" 106 106 "s01" "16:25:34" "Verbal" "Crisp" "Big" 1687 0
"107" 107 107 "s01" "26:35:44" "Verbal" "Vague" "Small" 1900 0
"108" 108 108 "s01" "36:45:54" "Numerical" "Vague" "Big" 1383 0
"109" 109 109 "s01" "6:15:24" "Verbal" "Vague" "Small" 1557 0
"110" 110 110 "s01" "16:25:34" "Numerical" "Crisp" "Big" 1104 0
"111" 111 111 "s01" "26:35:44" "Numerical" "Vague" "Big" 1116 0
"112" 112 112 "s01" "36:45:54" "Numerical" "Vague" "Small" 1254 0
"113" 113 113 "s01" "6:15:24" "Numerical" "Crisp" "Small" 1029 0
"114" 114 114 "s01" "16:25:34" "Verbal" "Crisp" "Small" 1459 0
"115" 115 115 "s01" "26:35:44" "Verbal" "Vague" "Small" 1491 0
"116" 116 116 "s01" "36:45:54" "Verbal" "Crisp" "Big" 1820 0
"117" 117 117 "s01" "6:15:24" "Numerical" "Vague" "Big" 952 0
"118" 118 118 "s01" "16:25:34" "Numerical" "Crisp" "Small" 1303 1
"119" 119 119 "s01" "26:35:44" "Numerical" "Crisp" "Big" 1659 0
"120" 120 120 "s01" "36:45:54" "Numerical" "Vague" "Big" 1027 0
"121" 121 121 "s01" "6:15:24" "Numerical" "Crisp" "Big" 1570 0
"122" 122 122 "s01" "16:25:34" "Numerical" "Vague" "Small" 1100 1
"123" 123 123 "s01" "26:35:44" "Verbal" "Crisp" "Small" 1433 0
"124" 124 124 "s01" "36:45:54" "Verbal" "Vague" "Big" 1005 0
"125" 125 125 "s01" "6:15:24" "Verbal" "Crisp" "Small" 1121 0
"126" 126 126 "s01" "16:25:34" "Verbal" "Crisp" "Big" 1564 0
"127" 127 127 "s01" "26:35:44" "Numerical" "Crisp" "Big" 1016 0
"128" 128 128 "s01" "36:45:54" "Numerical" "Crisp" "Big" 2456 0
"129" 129 129 "s01" "6:15:24" "Numerical" "Vague" "Small" 1254 1
"130" 130 130 "s01" "16:25:34" "Numerical" "Vague" "Big" 1799 0
"131" 131 131 "s01" "26:35:44" "Verbal" "Crisp" "Big" 1286 0
"132" 132 132 "s01" "36:45:54" "Verbal" "Crisp" "Small" 2192 1
"133" 133 133 "s01" "6:15:24" "Verbal" "Crisp" "Small" 1095 0
"134" 134 134 "s01" "16:25:34" "Verbal" "Crisp" "Big" 764 0
"135" 135 135 "s01" "26:35:44" "Numerical" "Vague" "Big" 1412 0
"136" 136 136 "s01" "36:45:54" "Numerical" "Crisp" "Small" 2820 0
"137" 137 137 "s01" "6:15:24" "Numerical" "Vague" "Big" 1617 0
"138" 138 138 "s01" "16:25:34" "Verbal" "Vague" "Big" 2162 0
"139" 139 139 "s01" "26:35:44" "Numerical" "Crisp" "Small" 4054 0
"140" 140 140 "s01" "36:45:54" "Numerical" "Vague" "Big" 2135 0
"141" 141 141 "s01" "6:15:24" "Verbal" "Vague" "Big" 1307 0
"142" 142 142 "s01" "16:25:34" "Verbal" "Crisp" "Small" 1039 0
"143" 143 143 "s01" "26:35:44" "Numerical" "Vague" "Small" 1460 0
"144" 144 144 "s01" "36:45:54" "Verbal" "Vague" "Small" 1633 0
"145" 145 145 "s01" "6:15:24" "Verbal" "Vague" "Small" 1268 0
"146" 146 146 "s01" "16:25:34" "Numerical" "Crisp" "Big" 1688 0
"147" 147 147 "s01" "26:35:44" "Numerical" "Crisp" "Big" 1861 0
"148" 148 148 "s01" "36:45:54" "Verbal" "Crisp" "Big" 1293 0
"149" 149 149 "s01" "6:15:24" "Numerical" "Crisp" "Small" 1200 0
"150" 150 150 "s01" "16:25:34" "Numerical" "Crisp" "Big" 1262 0
"151" 151 151 "s01" "26:35:44" "Numerical" "Crisp" "Small" 2426 1
"152" 152 152 "s01" "36:45:54" "Verbal" "Vague" "Big" 2804 0
"153" 153 153 "s01" "6:15:24" "Verbal" "Vague" "Small" 1153 0
"154" 154 154 "s01" "16:25:34" "Verbal" "Crisp" "Big" 1108 0
"155" 155 155 "s01" "26:35:44" "Verbal" "Vague" "Small" 1362 0
"156" 156 156 "s01" "36:45:54" "Verbal" "Vague" "Big" 2119 0
"157" 157 157 "s01" "6:15:24" "Numerical" "Crisp" "Big" 1442 0
"158" 158 158 "s01" "16:25:34" "Verbal" "Vague" "Small" 1065 0
"159" 159 159 "s01" "26:35:44" "Verbal" "Vague" "Small" 1112 0
"160" 160 160 "s01" "36:45:54" "Numerical" "Vague" "Big" 1188 0
"161" 161 161 "s01" "6:15:24" "Numerical" "Crisp" "Small" 734 0
"162" 162 162 "s01" "16:25:34" "Verbal" "Crisp" "Small" 1400 0
"163" 163 163 "s01" "26:35:44" "Verbal" "Vague" "Big" 1673 0
"164" 164 164 "s01" "36:45:54" "Numerical" "Crisp" "Big" 1631 0
"165" 165 165 "s01" "6:15:24" "Verbal" "Vague" "Big" 1971 0
"166" 166 166 "s01" "16:25:34" "Numerical" "Vague" "Small" 3524 1
"167" 167 167 "s01" "26:35:44" "Numerical" "Crisp" "Big" 1128 0
"168" 168 168 "s01" "36:45:54" "Numerical" "Vague" "Small" 1962 0
"169" 169 169 "s01" "6:15:24" "Verbal" "Crisp" "Big" 1045 0
"170" 170 170 "s01" "16:25:34" "Numerical" "Vague" "Small" 2018 1
"171" 171 171 "s01" "26:35:44" "Verbal" "Crisp" "Small" 1240 0
"172" 172 172 "s01" "36:45:54" "Verbal" "Crisp" "Big" 1282 0
"173" 173 173 "s01" "6:15:24" "Numerical" "Vague" "Big" 1276 0
"174" 174 174 "s01" "16:25:34" "Verbal" "Vague" "Big" 1256 0
"175" 175 175 "s01" "26:35:44" "Numerical" "Vague" "Small" 1796 0
"176" 176 176 "s01" "36:45:54" "Numerical" "Crisp" "Small" 1780 0
"177" 177 177 "s01" "6:15:24" "Verbal" "Crisp" "Big" 1565 0
"178" 178 178 "s01" "16:25:34" "Numerical" "Vague" "Big" 1470 0
"179" 179 179 "s01" "26:35:44" "Verbal" "Crisp" "Big" 1841 0
"180" 180 180 "s01" "36:45:54" "Verbal" "Crisp" "Small" 2064 0
"181" 181 181 "s01" "6:15:24" "Verbal" "Crisp" "Small" 866 0
"182" 182 182 "s01" "16:25:34" "Numerical" "Crisp" "Small" 1229 1
"183" 183 183 "s01" "26:35:44" "Verbal" "Vague" "Big" 948 0
"184" 184 184 "s01" "36:45:54" "Numerical" "Vague" "Small" 789 0
"185" 185 185 "s01" "6:15:24" "Numerical" "Crisp" "Big" 1131 0
"186" 186 186 "s01" "16:25:34" "Verbal" "Vague" "Small" 1212 0
"187" 187 187 "s01" "26:35:44" "Verbal" "Crisp" "Small" 1228 0
"188" 188 188 "s01" "36:45:54" "Numerical" "Crisp" "Big" 1501 0
"189" 189 189 "s01" "6:15:24" "Numerical" "Vague" "Small" 1285 1
"190" 190 190 "s01" "16:25:34" "Numerical" "Crisp" "Small" 1980 1
"191" 191 191 "s01" "26:35:44" "Numerical" "Vague" "Big" 1671 0
"192" 192 192 "s01" "36:45:54" "Verbal" "Vague" "Small" 2294 0
"193" 193 193 "s01" "6:15:24" "Verbal" "Vague" "Big" 943 0
"194" 194 194 "s01" "16:25:34" "Numerical" "Crisp" "Small" 1466 1
"195" 195 195 "s01" "26:35:44" "Numerical" "Crisp" "Big" 872 0
"196" 196 196 "s01" "36:45:54" "Numerical" "Vague" "Big" 761 0
"197" 197 197 "s01" "6:15:24" "Verbal" "Crisp" "Big" 615 0
"198" 198 198 "s01" "16:25:34" "Verbal" "Vague" "Small" 805 0
"199" 199 199 "s01" "26:35:44" "Verbal" "Crisp" "Small" 1040 0
"200" 200 200 "s01" "36:45:54" "Verbal" "Crisp" "Small" 2051 0
"201" 201 201 "s01" "6:15:24" "Verbal" "Crisp" "Small" 1247 0
"202" 202 202 "s01" "16:25:34" "Numerical" "Crisp" "Big" 1943 0
"203" 203 203 "s01" "26:35:44" "Verbal" "Vague" "Small" 979 0
"204" 204 204 "s01" "36:45:54" "Numerical" "Crisp" "Small" 2863 0
"205" 205 205 "s01" "6:15:24" "Numerical" "Vague" "Small" 1087 1
"206" 206 206 "s01" "16:25:34" "Numerical" "Vague" "Big" 873 0
"207" 207 207 "s01" "26:35:44" "Verbal" "Vague" "Big" 1047 0
"208" 208 208 "s01" "36:45:54" "Numerical" "Crisp" "Big" 842 0
"209" 209 209 "s01" "6:15:24" "Verbal" "Vague" "Small" 821 0
"210" 210 210 "s01" "16:25:34" "Verbal" "Vague" "Big" 1849 0
"211" 211 211 "s01" "26:35:44" "Numerical" "Crisp" "Big" 1229 0
"212" 212 212 "s01" "36:45:54" "Verbal" "Vague" "Big" 1512 0
"213" 213 213 "s01" "6:15:24" "Numerical" "Crisp" "Small" 838 0
"214" 214 214 "s01" "16:25:34" "Numerical" "Crisp" "Big" 1471 0
"215" 215 215 "s01" "26:35:44" "Verbal" "Crisp" "Big" 1251 0
"216" 216 216 "s01" "36:45:54" "Numerical" "Crisp" "Small" 1150 0
"217" 217 217 "s01" "6:15:24" "Numerical" "Vague" "Big" 1436 0
"218" 218 218 "s01" "16:25:34" "Verbal" "Vague" "Big" 1352 0
"219" 219 219 "s01" "26:35:44" "Verbal" "Vague" "Small" 1199 0
"220" 220 220 "s01" "36:45:54" "Numerical" "Vague" "Small" 1804 0
"221" 221 221 "s01" "6:15:24" "Verbal" "Crisp" "Small" 1254 0
"222" 222 222 "s01" "16:25:34" "Verbal" "Crisp" "Small" 1291 0
"223" 223 223 "s01" "26:35:44" "Numerical" "Vague" "Small" 1175 0
"224" 224 224 "s01" "36:45:54" "Verbal" "Crisp" "Small" 1938 0
"225" 225 225 "s01" "6:15:24" "Numerical" "Vague" "Small" 2501 1
"226" 226 226 "s01" "16:25:34" "Numerical" "Vague" "Big" 1986 0
"227" 227 227 "s01" "26:35:44" "Numerical" "Vague" "Small" 1378 0
"228" 228 228 "s01" "36:45:54" "Verbal" "Vague" "Small" 3158 1
"229" 229 229 "s01" "6:15:24" "Verbal" "Crisp" "Big" 1427 0
"230" 230 230 "s01" "16:25:34" "Verbal" "Crisp" "Big" 1218 0
"231" 231 231 "s01" "26:35:44" "Numerical" "Vague" "Big" 1063 0
"232" 232 232 "s01" "36:45:54" "Numerical" "Crisp" "Big" 1297 0
"233" 233 233 "s01" "6:15:24" "Numerical" "Crisp" "Big" 2573 0
"234" 234 234 "s01" "16:25:34" "Numerical" "Vague" "Small" 2250 1
"235" 235 235 "s01" "26:35:44" "Verbal" "Vague" "Big" 1457 0
"236" 236 236 "s01" "36:45:54" "Verbal" "Crisp" "Big" 1118 0
"237" 237 237 "s01" "6:15:24" "Verbal" "Vague" "Big" 2245 0
"238" 238 238 "s01" "16:25:34" "Numerical" "Vague" "Small" 2330 1
"239" 239 239 "s01" "26:35:44" "Numerical" "Crisp" "Small" 3040 1
"240" 240 240 "s01" "36:45:54" "Verbal" "Crisp" "Big" 804 0
"241" 241 241 "s01" "6:15:24" "Numerical" "Crisp" "Small" 1247 0
"242" 242 242 "s01" "16:25:34" "Numerical" "Crisp" "Small" 2478 0
"243" 243 243 "s01" "26:35:44" "Numerical" "Vague" "Big" 1475 0
"244" 244 244 "s01" "36:45:54" "Numerical" "Vague" "Big" 1433 0
"245" 245 245 "s01" "6:15:24" "Numerical" "Crisp" "Big" 1822 0
"246" 246 246 "s01" "16:25:34" "Verbal" "Vague" "Small" 1782 0
"247" 247 247 "s01" "26:35:44" "Numerical" "Crisp" "Small" 1448 1
"248" 248 248 "s01" "36:45:54" "Verbal" "Vague" "Big" 1679 0
"249" 249 249 "s01" "6:15:24" "Verbal" "Vague" "Small" 1052 0
"250" 250 250 "s01" "16:25:34" "Verbal" "Crisp" "Big" 1151 0
"251" 251 251 "s01" "26:35:44" "Verbal" "Crisp" "Small" 2248 0
"252" 252 252 "s01" "36:45:54" "Numerical" "Vague" "Small" 1766 0
"253" 253 253 "s01" "6:15:24" "Numerical" "Vague" "Big" 2872 1
"254" 254 254 "s01" "16:25:34" "Verbal" "Crisp" "Small" 2537 0
"255" 255 255 "s01" "26:35:44" "Verbal" "Crisp" "Big" 1008 0
"256" 256 256 "s01" "36:45:54" "Verbal" "Vague" "Small" 1476 0
"257" 257 1 "s02" "6:15:24" "Numerical" "Vague" "Small" 1915 1
"258" 258 2 "s02" "16:25:34" "Numerical" "Crisp" "Small" 1617 1
"259" 259 3 "s02" "26:35:44" "Numerical" "Crisp" "Big" 1150 0
"260" 260 4 "s02" "36:45:54" "Verbal" "Crisp" "Small" 1828 0
"261" 261 5 "s02" "6:15:24" "Verbal" "Vague" "Big" 1441 0
"262" 262 6 "s02" "16:25:34" "Verbal" "Vague" "Small" 1981 0
"263" 263 7 "s02" "26:35:44" "Verbal" "Crisp" "Big" 1214 0
"264" 264 8 "s02" "36:45:54" "Verbal" "Crisp" "Small" 1435 0
"265" 265 9 "s02" "6:15:24" "Verbal" "Vague" "Big" 1627 0
"266" 266 10 "s02" "16:25:34" "Verbal" "Vague" "Big" 1032 0
"267" 267 11 "s02" "26:35:44" "Verbal" "Vague" "Small" 769 0
"268" 268 12 "s02" "36:45:54" "Numerical" "Vague" "Big" 1040 0
"269" 269 13 "s02" "6:15:24" "Verbal" "Vague" "Small" 1353 0
"270" 270 14 "s02" "16:25:34" "Numerical" "Vague" "Big" 1245 1
"271" 271 15 "s02" "26:35:44" "Verbal" "Crisp" "Small" 1967 0
"272" 272 16 "s02" "36:45:54" "Numerical" "Vague" "Small" 1677 1
"273" 273 17 "s02" "6:15:24" "Numerical" "Vague" "Big" 1620 1
"274" 274 18 "s02" "16:25:34" "Numerical" "Vague" "Small" 1863 0
"275" 275 19 "s02" "26:35:44" "Numerical" "Crisp" "Small" 1337 1
"276" 276 20 "s02" "36:45:54" "Verbal" "Vague" "Big" 1406 1
"277" 277 21 "s02" "6:15:24" "Numerical" "Crisp" "Small" 987 0
"278" 278 22 "s02" "16:25:34" "Verbal" "Crisp" "Big" 1198 0
"279" 279 23 "s02" "26:35:44" "Numerical" "Crisp" "Small" 967 1
"280" 280 24 "s02" "36:45:54" "Verbal" "Vague" "Small" 1649 0
"281" 281 25 "s02" "6:15:24" "Verbal" "Crisp" "Small" 1588 1
"282" 282 26 "s02" "16:25:34" "Numerical" "Crisp" "Big" 943 1
"283" 283 27 "s02" "26:35:44" "Verbal" "Vague" "Big" 1038 1
"284" 284 28 "s02" "36:45:54" "Numerical" "Vague" "Small" 1784 0
"285" 285 29 "s02" "6:15:24" "Verbal" "Crisp" "Small" 1221 0
"286" 286 30 "s02" "16:25:34" "Numerical" "Vague" "Small" 1209 0
"287" 287 31 "s02" "26:35:44" "Numerical" "Vague" "Small" 1666 1
"288" 288 32 "s02" "36:45:54" "Numerical" "Vague" "Big" 911 0
"289" 289 33 "s02" "6:15:24" "Numerical" "Vague" "Big" 1938 1
"290" 290 34 "s02" "16:25:34" "Verbal" "Vague" "Big" 1761 1
"291" 291 35 "s02" "26:35:44" "Verbal" "Vague" "Big" 1900 1
"292" 292 36 "s02" "36:45:54" "Verbal" "Vague" "Small" 1753 0
"293" 293 37 "s02" "6:15:24" "Verbal" "Crisp" "Big" 745 0
"294" 294 38 "s02" "16:25:34" "Verbal" "Crisp" "Small" 1886 0
"295" 295 39 "s02" "26:35:44" "Verbal" "Vague" "Small" 1326 0
"296" 296 40 "s02" "36:45:54" "Numerical" "Crisp" "Big" 1208 0
"297" 297 41 "s02" "6:15:24" "Verbal" "Crisp" "Big" 1282 0
"298" 298 42 "s02" "16:25:34" "Numerical" "Vague" "Big" 859 1
"299" 299 43 "s02" "26:35:44" "Numerical" "Vague" "Big" 1252 0
"300" 300 44 "s02" "36:45:54" "Numerical" "Crisp" "Small" 1426 0
"301" 301 45 "s02" "6:15:24" "Numerical" "Crisp" "Big" 1591 0
"302" 302 46 "s02" "16:25:34" "Verbal" "Vague" "Small" 1375 0
"303" 303 47 "s02" "26:35:44" "Numerical" "Vague" "Small" 1328 1
"304" 304 48 "s02" "36:45:54" "Verbal" "Crisp" "Big" 2045 0
"305" 305 49 "s02" "6:15:24" "Numerical" "Vague" "Small" 1562 1
"306" 306 50 "s02" "16:25:34" "Numerical" "Crisp" "Big" 1242 1
"307" 307 51 "s02" "26:35:44" "Verbal" "Crisp" "Big" 2367 1
"308" 308 52 "s02" "36:45:54" "Verbal" "Vague" "Big" 1084 0
"309" 309 53 "s02" "6:15:24" "Numerical" "Crisp" "Small" 1334 0
"310" 310 54 "s02" "16:25:34" "Verbal" "Crisp" "Small" 1088 0
"311" 311 55 "s02" "26:35:44" "Verbal" "Crisp" "Small" 1762 0
"312" 312 56 "s02" "36:45:54" "Verbal" "Crisp" "Big" 1544 0
"313" 313 57 "s02" "6:15:24" "Numerical" "Crisp" "Big" 2131 0
"314" 314 58 "s02" "16:25:34" "Verbal" "Crisp" "Big" 1543 0
"315" 315 59 "s02" "26:35:44" "Numerical" "Crisp" "Big" 833 0
"316" 316 60 "s02" "36:45:54" "Numerical" "Crisp" "Small" 1088 1
"317" 317 61 "s02" "6:15:24" "Verbal" "Vague" "Small" 885 0
"318" 318 62 "s02" "16:25:34" "Numerical" "Crisp" "Small" 1875 0
"319" 319 63 "s02" "26:35:44" "Numerical" "Vague" "Big" 1788 1
"320" 320 64 "s02" "36:45:54" "Numerical" "Crisp" "Big" 1919 0
"321" 321 65 "s02" "6:15:24" "Numerical" "Crisp" "Big" 5056 0
"322" 322 66 "s02" "16:25:34" "Numerical" "Crisp" "Big" 1777 1
"323" 323 67 "s02" "26:35:44" "Verbal" "Crisp" "Big" 657 0
"324" 324 68 "s02" "36:45:54" "Verbal" "Crisp" "Big" 1944 0
"325" 325 69 "s02" "6:15:24" "Verbal" "Crisp" "Big" 1443 0
"326" 326 70 "s02" "16:25:34" "Verbal" "Crisp" "Small" 1506 0
"327" 327 71 "s02" "26:35:44" "Verbal" "Vague" "Small" 776 0
"328" 328 72 "s02" "36:45:54" "Verbal" "Crisp" "Small" 1356 0
"329" 329 73 "s02" "6:15:24" "Numerical" "Crisp" "Big" 11150 1
"330" 330 74 "s02" "16:25:34" "Numerical" "Vague" "Small" 2902 0
"331" 331 75 "s02" "26:35:44" "Numerical" "Vague" "Small" 1645 0
"332" 332 76 "s02" "36:45:54" "Verbal" "Vague" "Big" 1079 0
"333" 333 77 "s02" "6:15:24" "Numerical" "Vague" "Big" 1538 1
"334" 334 78 "s02" "16:25:34" "Verbal" "Vague" "Small" 2314 0
"335" 335 79 "s02" "26:35:44" "Numerical" "Vague" "Big" 1353 1
"336" 336 80 "s02" "36:45:54" "Numerical" "Vague" "Big" 2284 0
"337" 337 81 "s02" "6:15:24" "Verbal" "Crisp" "Big" 684 0
"338" 338 82 "s02" "16:25:34" "Numerical" "Vague" "Big" 2169 0
"339" 339 83 "s02" "26:35:44" "Verbal" "Vague" "Big" 1040 0
"340" 340 84 "s02" "36:45:54" "Numerical" "Crisp" "Small" 1065 0
"341" 341 85 "s02" "6:15:24" "Verbal" "Vague" "Small" 875 0
"342" 342 86 "s02" "16:25:34" "Numerical" "Crisp" "Small" 5723 1
"343" 343 87 "s02" "26:35:44" "Verbal" "Vague" "Big" 1089 0
"344" 344 88 "s02" "36:45:54" "Verbal" "Vague" "Big" 1761 0
