Item	Condition	Order	Quantity	Left	Mid	Right	Instruction	Subject	Instruction_RT	RESPONSE	RT
2	2	1	1	16	25	34	'Choose a square with 16 dots'	1	659	LEFT	698
3	1	1	2	26	35	44	'Choose a square with about 40 dots'	1	512	RIGHT	565
4	2	2	2	54	45	36	'Choose a square with 54 dots'	1	496	LEFT	654
1	2	1	2	6	15	24	'Choose a square with 24 dots'	1	558	RIGHT	673
2	3	2	1	34	25	16	'Choose a square with far fewer than 30 dots'	1	529	RIGHT	892
3	2	1	2	26	35	44	'Choose a square with 44 dots'	1	470	RIGHT	636
4	1	2	2	54	45	36	'Choose a square with about 50 dots'	1	539	LEFT	559
1	2	1	1	6	15	24	'Choose a square with 6 dots'	1	491	LEFT	570
2	1	2	1	34	25	16	'Choose a square with about 20 dots'	1	531	RIGHT	1415
3	2	1	1	26	35	44	'Choose a square with 26 dots'	1	436	MIDDLE	1715
4	3	2	1	54	45	36	'Choose a square with far fewer than 50 dots'	1	822	RIGHT	710
1	1	1	1	6	15	24	'Choose a square with about 10 dots'	1	540	LEFT	689
2	1	1	2	16	25	34	'Choose a square with about 30 dots'	1	503	RIGHT	700
3	3	1	2	26	35	44	'Choose a square with far more than 30 dots'	1	522	RIGHT	943
4	2	1	1	36	45	54	'Choose a square with 36 dots'	1	622	RIGHT	702
1	1	2	1	24	15	6	'Choose a square with about 10 dots'	1	611	RIGHT	644
2	3	1	1	16	25	34	'Choose a square with far fewer than 30 dots'	1	621	LEFT	661
3	4	2	2	44	35	26	'Choose a square with more than 30 dots'	1	565	LEFT	728
4	4	2	2	54	45	36	'Choose a square with more than 40 dots'	1	550	LEFT	624
1	3	1	2	6	15	24	'Choose a square with far more than 10 dots'	1	505	RIGHT	695
2	2	2	1	34	25	16	'Choose a square with 16 dots'	1	662	RIGHT	805
3	2	2	1	44	35	26	'Choose a square with 26 dots'	1	495	MIDDLE	1173
4	2	2	1	54	45	36	'Choose a square with 36 dots'	1	387	LEFT	714
1	2	2	2	24	15	6	'Choose a square with 24 dots'	1	584	LEFT	1050
2	3	1	2	16	25	34	'Choose a square with far more than 20 dots'	1	597	RIGHT	615
3	3	1	1	26	35	44	'Choose a square with far fewer than 40 dots'	1	551	RIGHT	571
4	4	1	1	36	45	54	'Choose a square with fewer than 50 dots'	1	502	LEFT	780
1	4	1	1	6	15	24	'Choose a square with fewer than 20 dots'	1	737	LEFT	507
2	4	2	1	34	25	16	'Choose a square with fewer than 30 dots'	1	728	RIGHT	686
3	1	1	1	26	35	44	'Choose a square with about 30 dots'	1	757	RIGHT	840
4	2	1	2	36	45	54	'Choose a square with 54 dots'	1	633	RIGHT	706
1	4	1	2	6	15	24	'Choose a square with more than 10 dots'	1	600	RIGHT	554
2	1	2	2	34	25	16	'Choose a square with about 30 dots'	1	622	LEFT	637
3	4	1	1	26	35	44	'Choose a square with fewer than 40 dots'	1	623	LEFT	647
4	1	2	1	54	45	36	'Choose a square with about 40 dots'	1	762	LEFT	899
1	4	2	2	24	15	6	'Choose a square with more than 10 dots'	1	554	LEFT	806
2	3	2	2	34	25	16	'Choose a square with far more than 20 dots'	1	680	LEFT	734
3	4	2	1	44	35	26	'Choose a square with fewer than 40 dots'	1	844	RIGHT	589
4	4	2	1	54	45	36	'Choose a square with fewer than 50 dots'	1	808	RIGHT	1032
1	3	2	2	24	15	6	'Choose a square with far more than 10 dots'	1	778	LEFT	574
2	2	1	2	16	25	34	'Choose a square with 34 dots'	1	601	RIGHT	610
3	3	2	2	44	35	26	'Choose a square with far more than 30 dots'	1	811	LEFT	670
4	1	1	1	36	45	54	'Choose a square with about 40 dots'	1	628	RIGHT	645
1	3	2	1	24	15	6	'Choose a square with far fewer than 20 dots'	1	542	RIGHT	601
2	4	1	2	16	25	34	'Choose a square with more than 20 dots'	1	651	RIGHT	938
3	3	2	1	44	35	26	'Choose a square with far fewer than 40 dots'	1	776	RIGHT	724
4	4	1	2	36	45	54	'Choose a square with more than 40 dots'	1	745	RIGHT	493
1	1	2	2	24	15	6	'Choose a square with about 20 dots'	1	739	LEFT	671
2	4	1	1	16	25	34	'Choose a square with fewer than 30 dots'	1	582	LEFT	617
3	2	2	2	44	35	26	'Choose a square with 44 dots'	1	626	LEFT	579
4	3	2	2	54	45	36	'Choose a square with far more than 40 dots'	1	598	LEFT	928
1	1	1	2	6	15	24	'Choose a square with about 20 dots'	1	638	RIGHT	1261
2	1	1	1	16	25	34	'Choose a square with about 20 dots'	1	519	MIDDLE	1637
3	4	1	2	26	35	44	'Choose a square with more than 30 dots'	1	616	RIGHT	744
4	3	1	1	36	45	54	'Choose a square with far fewer than 50 dots'	1	615	LEFT	614
1	4	1	2	6	15	24	'Choose a square with more than 10 dots'	10	2271	MIDDLE	2355
2	4	1	2	16	25	34	'Choose a square with more than 20 dots'	10	1277	LEFT	3854
3	3	2	1	44	35	26	'Choose a square with far fewer than 40 dots'	10	2089	RIGHT	2284
4	4	2	1	54	45	36	'Choose a square with fewer than 50 dots'	10	1746	MIDDLE	2360
1	2	1	1	6	15	24	'Choose a square with 6 dots'	10	1629	LEFT	1471
2	3	1	2	16	25	34	'Choose a square with far more than 20 dots'	10	1128	MIDDLE	2366
3	2	2	1	44	35	26	'Choose a square with 26 dots'	10	760	RIGHT	4059
4	4	1	1	36	45	54	'Choose a square with fewer than 50 dots'	10	792	LEFT	4586
1	2	2	2	24	15	6	'Choose a square with 24 dots'	10	748	MIDDLE	4847
2	2	2	1	34	25	16	'Choose a square with 16 dots'	10	1430	RIGHT	3650
3	4	1	2	26	35	44	'Choose a square with more than 30 dots'	10	476	RIGHT	3682
4	3	1	2	36	45	54	'Choose a square with far more than 40 dots'	10	2956	RIGHT	1848
1	2	2	1	24	15	6	'Choose a square with 6 dots'	10	1325	MIDDLE	2163
2	1	1	2	16	25	34	'Choose a square with about 30 dots'	10	1276	MIDDLE	3878
3	4	1	1	26	35	44	'Choose a square with fewer than 40 dots'	10	456	LEFT	3670
4	1	2	2	54	45	36	'Choose a square with about 50 dots'	10	145	MIDDLE	3106
1	1	2	1	24	15	6	'Choose a square with about 10 dots'	10	490	RIGHT	6271
2	2	2	2	34	25	16	'Choose a square with 34 dots'	10	265	MIDDLE	3479
3	4	2	2	44	35	26	'Choose a square with more than 30 dots'	10	1184	LEFT	1820
4	1	1	2	36	45	54	'Choose a square with about 50 dots'	10	993	RIGHT	3181
1	3	1	2	6	15	24	'Choose a square with far more than 10 dots'	10	1760	RIGHT	1760
2	2	1	2	16	25	34	'Choose a square with 34 dots'	10	1560	MIDDLE	2183
3	3	1	2	26	35	44	'Choose a square with far more than 30 dots'	10	1303	RIGHT	3070
4	3	1	1	36	45	54	'Choose a square with far fewer than 50 dots'	10	1862	LEFT	3506
1	4	2	1	24	15	6	'Choose a square with fewer than 20 dots'	10	378	RIGHT	3643
2	4	2	1	34	25	16	'Choose a square with fewer than 30 dots'	10	1519	RIGHT	3023
3	1	1	2	26	35	44	'Choose a square with about 40 dots'	10	1424	LEFT	2435
4	4	2	2	54	45	36	'Choose a square with more than 40 dots'	10	1091	LEFT	1603
1	3	2	2	24	15	6	'Choose a square with far more than 10 dots'	10	1960	LEFT	2000
2	1	2	2	34	25	16	'Choose a square with about 30 dots'	10	1502	MIDDLE	1823
3	1	2	1	44	35	26	'Choose a square with about 30 dots'	10	717	RIGHT	3592
4	2	1	2	36	45	54	'Choose a square with 54 dots'	10	1342	LEFT	3156
1	4	2	2	24	15	6	'Choose a square with more than 10 dots'	10	865	LEFT	1713
2	4	1	1	16	25	34	'Choose a square with fewer than 30 dots'	10	1379	LEFT	2544
3	4	2	1	44	35	26	'Choose a square with fewer than 40 dots'	10	1603	RIGHT	2616
4	3	2	2	54	45	36	'Choose a square with far more than 40 dots'	10	1106	LEFT	1176
1	4	1	1	6	15	24	'Choose a square with fewer than 20 dots'	10	1013	LEFT	1487
2	3	2	2	34	25	16	'Choose a square with far more than 20 dots'	10	1233	LEFT	2356
3	2	2	2	44	35	26	'Choose a square with 44 dots'	10	1365	LEFT	3908
4	1	2	1	54	45	36	'Choose a square with about 40 dots'	10	1366	MIDDLE	1514
1	2	1	2	6	15	24	'Choose a square with 24 dots'	10	988	MIDDLE	1950
2	1	2	1	34	25	16	'Choose a square with about 20 dots'	10	944	RIGHT	2197
3	2	1	2	26	35	44	'Choose a square with 44 dots'	10	724	MIDDLE	2745
4	1	1	1	36	45	54	'Choose a square with about 40 dots'	10	1182	LEFT	2145
1	3	2	1	24	15	6	'Choose a square with far fewer than 20 dots'	10	331	RIGHT	1791
2	4	2	2	34	25	16	'Choose a square with more than 20 dots'	10	1486	LEFT	1422
3	3	1	1	26	35	44	'Choose a square with far fewer than 40 dots'	10	1652	LEFT	2573
4	2	2	1	54	45	36	'Choose a square with 36 dots'	10	1183	RIGHT	2844
1	1	2	2	24	15	6	'Choose a square with about 20 dots'	10	1020	MIDDLE	2014
2	2	1	1	16	25	34	'Choose a square with 16 dots'	10	990	LEFT	3552
3	1	2	2	44	35	26	'Choose a square with about 40 dots'	10	1286	RIGHT	3150
4	2	1	1	36	45	54	'Choose a square with 36 dots'	10	988	LEFT	2822
1	3	1	1	6	15	24	'Choose a square with far fewer than 20 dots'	10	1263	LEFT	1185
2	3	1	1	16	25	34	'Choose a square with far fewer than 30 dots'	10	4095	LEFT	2448
3	2	1	1	26	35	44	'Choose a square with 26 dots'	10	1271	LEFT	3239
4	2	2	2	54	45	36	'Choose a square with 54 dots'	10	1041	LEFT	3508
1	1	1	1	6	15	24	'Choose a square with about 10 dots'	10	796	LEFT	9582
2	1	1	1	16	25	34	'Choose a square with about 20 dots'	10	1529	LEFT	3647
3	1	1	1	26	35	44	'Choose a square with about 30 dots'	10	3546	LEFT	3192
4	3	2	1	54	45	36	'Choose a square with far fewer than 50 dots'	10	1188	RIGHT	2735
1	1	1	2	6	15	24	'Choose a square with about 20 dots'	10	1029	MIDDLE	2093
2	3	2	1	34	25	16	'Choose a square with far fewer than 30 dots'	10	1490	RIGHT	3347
3	3	2	2	44	35	26	'Choose a square with far more than 30 dots'	10	1720	LEFT	1432
4	4	1	2	36	45	54	'Choose a square with more than 40 dots'	10	1013	RIGHT	2230
1	1	1	1	6	15	24	'Choose a square with about 10 dots'	10	2228	LEFT	3145
2	3	2	2	34	25	16	'Choose a square with far more than 20 dots'	10	1222	LEFT	1337
3	1	2	1	44	35	26	'Choose a square with about 30 dots'	10	1898	RIGHT	2315
4	2	1	2	36	45	54	'Choose a square with 54 dots'	10	1014	LEFT	3010
1	4	2	1	24	15	6	'Choose a square with fewer than 20 dots'	10	1018	RIGHT	1429
2	4	1	2	16	25	34	'Choose a square with more than 20 dots'	10	1808	RIGHT	1534
3	4	2	1	44	35	26	'Choose a square with fewer than 40 dots'	10	1991	RIGHT	3726
4	1	2	1	54	45	36	'Choose a square with about 40 dots'	10	1006	MIDDLE	2216
1	3	1	2	6	15	24	'Choose a square with far more than 10 dots'	10	1193	RIGHT	2539
2	1	2	2	34	25	16	'Choose a square with about 30 dots'	10	855	RIGHT	3103
3	3	1	2	26	35	44	'Choose a square with far more than 30 dots'	10	1743	RIGHT	1493
4	4	2	2	54	45	36	'Choose a square with more than 40 dots'	10	1607	LEFT	1507
1	1	2	2	24	15	6	'Choose a square with about 20 dots'	10	1421	MIDDLE	2856
2	2	2	2	34	25	16	'Choose a square with 34 dots'	10	335	MIDDLE	3283
3	1	2	2	44	35	26	'Choose a square with about 40 dots'	10	1379	MIDDLE	2552
4	3	2	2	54	45	36	'Choose a square with far more than 40 dots'	10	1995	LEFT	1881
1	3	2	1	24	15	6	'Choose a square with far fewer than 20 dots'	10	2069	RIGHT	1864
2	1	1	2	16	25	34	'Choose a square with about 30 dots'	10	1765	MIDDLE	3276
3	4	1	2	26	35	44	'Choose a square with more than 30 dots'	10	1238	RIGHT	1384
4	3	2	1	54	45	36	'Choose a square with far fewer than 50 dots'	10	973	RIGHT	4600
1	2	1	1	6	15	24	'Choose a square with 6 dots'	10	985	LEFT	2485
2	4	2	2	34	25	16	'Choose a square with more than 20 dots'	10	1066	LEFT	1530
3	3	2	1	44	35	26	'Choose a square with far fewer than 40 dots'	10	938	RIGHT	3895
4	2	2	2	54	45	36	'Choose a square with 54 dots'	10	849	RIGHT	4097
1	3	2	2	24	15	6	'Choose a square with far more than 10 dots'	10	1141	LEFT	1755
2	4	2	1	34	25	16	'Choose a square with fewer than 30 dots'	10	979	RIGHT	2462
3	2	2	2	44	35	26	'Choose a square with 44 dots'	10	604	MIDDLE	2638
4	2	1	1	36	45	54	'Choose a square with 36 dots'	10	749	LEFT	2306
1	2	1	2	6	15	24	'Choose a square with 24 dots'	10	885	MIDDLE	2365
2	2	2	1	34	25	16	'Choose a square with 16 dots'	10	799	RIGHT	2641
3	2	1	2	26	35	44	'Choose a square with 44 dots'	10	713	MIDDLE	3774
4	2	2	1	54	45	36	'Choose a square with 36 dots'	10	805	RIGHT	1550
1	4	1	1	6	15	24	'Choose a square with fewer than 20 dots'	10	1454	LEFT	1304
2	1	1	1	16	25	34	'Choose a square with about 20 dots'	10	1056	LEFT	2225
3	1	1	2	26	35	44	'Choose a square with about 40 dots'	10	1016	MIDDLE	4483
4	3	1	1	36	45	54	'Choose a square with far fewer than 50 dots'	10	775	LEFT	5354
1	2	2	2	24	15	6	'Choose a square with 24 dots'	10	535	LEFT	5419
2	3	1	2	16	25	34	'Choose a square with far more than 20 dots'	10	2495	RIGHT	1890
3	3	1	1	26	35	44	'Choose a square with far fewer than 40 dots'	10	4013	LEFT	2985
4	1	2	2	54	45	36	'Choose a square with about 50 dots'	10	822	MIDDLE	2686
1	3	1	1	6	15	24	'Choose a square with far fewer than 20 dots'	10	1244	LEFT	1102
2	3	1	1	16	25	34	'Choose a square with far fewer than 30 dots'	10	1502	LEFT	4310
3	4	1	1	26	35	44	'Choose a square with fewer than 40 dots'	10	930	LEFT	3493
4	1	1	1	36	45	54	'Choose a square with about 40 dots'	10	902	MIDDLE	1797
1	1	2	1	24	15	6	'Choose a square with about 10 dots'	10	1109	RIGHT	4066
2	3	2	1	34	25	16	'Choose a square with far fewer than 30 dots'	10	1118	RIGHT	3014
3	2	2	1	44	35	26	'Choose a square with 26 dots'	10	800	RIGHT	6856
4	4	1	2	36	45	54	'Choose a square with more than 40 dots'	10	863	RIGHT	3886
1	4	1	2	6	15	24	'Choose a square with more than 10 dots'	10	1297	RIGHT	3258
2	4	1	1	16	25	34	'Choose a square with fewer than 30 dots'	10	1019	LEFT	2548
3	2	1	1	26	35	44	'Choose a square with 26 dots'	10	912	LEFT	2566
4	3	1	2	36	45	54	'Choose a square with far more than 40 dots'	10	1608	RIGHT	2349
1	1	1	2	6	15	24	'Choose a square with about 20 dots'	10	760	MIDDLE	3939
2	2	1	2	16	25	34	'Choose a square with 34 dots'	10	540	MIDDLE	3391
3	4	2	2	44	35	26	'Choose a square with more than 30 dots'	10	788	LEFT	2543
4	4	2	1	54	45	36	'Choose a square with fewer than 50 dots'	10	1161	RIGHT	2174
1	2	2	1	24	15	6	'Choose a square with 6 dots'	10	688	RIGHT	2797
2	2	1	1	16	25	34	'Choose a square with 16 dots'	10	1343	LEFT	5311
3	1	1	1	26	35	44	'Choose a square with about 30 dots'	10	805	LEFT	4725
4	4	1	1	36	45	54	'Choose a square with fewer than 50 dots'	10	970	LEFT	5805
1	4	2	2	24	15	6	'Choose a square with more than 10 dots'	10	850	LEFT	1824
2	1	2	1	34	25	16	'Choose a square with about 20 dots'	10	1310	RIGHT	3294
3	3	2	2	44	35	26	'Choose a square with far more than 30 dots'	10	1094	LEFT	4309
4	1	1	2	36	45	54	'Choose a square with about 50 dots'	10	889	MIDDLE	3424
1	2	2	1	24	15	6	'Choose a square with 6 dots'	10	1567	RIGHT	1429
2	1	1	1	16	25	34	'Choose a square with about 20 dots'	10	3232	LEFT	2361
3	1	2	2	44	35	26	'Choose a square with about 40 dots'	10	1669	RIGHT	2503
4	4	2	2	54	45	36	'Choose a square with more than 40 dots'	10	1931	LEFT	1661
1	4	2	1	24	15	6	'Choose a square with fewer than 20 dots'	10	1713	RIGHT	1777
2	4	1	2	16	25	34	'Choose a square with more than 20 dots'	10	1121	RIGHT	2007
